algorithm,d_final,family,instance_id,k_final,status,time_sec
GRASP,54.007529346594374,R1,R101,1.0,success,4.977226972579956
VND,54.007529346594374,R1,R101,1,success,4.950597286224365
ILS,55.27296525778705,R1,R101,1.0,success,1.5567219257354736
GRASP,59.09300324849883,R1,R102,1.0,success,6.148389101028442
VND,59.09300324849883,R1,R102,1,success,6.162637233734131
ILS,62.33145947244955,R1,R102,1.0,success,1.3111419677734375
GRASP,67.37639870697338,R1,R103,1.0,success,4.510627508163452
VND,67.37639870697338,R1,R103,1,success,4.582946300506592
ILS,68.3051777498693,R1,R103,1.0,success,1.3093211650848389
GRASP,59.391764804200186,R1,R104,1.0,success,3.758667230606079
VND,59.391764804200186,R1,R104,1,success,3.785982370376587
ILS,59.391764804200186,R1,R104,1.0,success,1.307854413986206
GRASP,55.528228979146654,R1,R105,1.0,success,3.744904041290283
VND,55.528228979146654,R1,R105,1,success,3.706982374191284
ILS,55.528228979146654,R1,R105,1.0,success,1.2869844436645508
GRASP,59.391764804200186,R1,R106,1.0,success,3.8175501823425293
VND,59.391764804200186,R1,R106,1,success,3.808635711669922
ILS,59.391764804200186,R1,R106,1.0,success,1.3170530796051025
GRASP,64.70512723358232,R1,R107,1.0,success,6.159270763397217
VND,64.70512723358232,R1,R107,1,success,7.729393720626831
ILS,79.77672893330615,R1,R107,1.0,success,1.9468111991882324
GRASP,64.70512723358232,R1,R108,1.0,success,9.108364582061768
VND,64.70512723358232,R1,R108,1,success,9.088496685028076
ILS,71.98188659749917,R1,R108,1.0,success,2.060483694076538
GRASP,59.13189564301204,R1,R109,1.0,success,8.650359630584717
VND,59.13189564301204,R1,R109,1,success,9.010969400405884
ILS,61.62825601150996,R1,R109,1.0,success,2.2665319442749023
GRASP,61.35655527146817,R1,R110,1.0,success,5.364548683166504
VND,61.35655527146817,R1,R110,1,success,5.470483064651489
ILS,61.35655527146817,R1,R110,1.0,success,1.9167726039886475
GRASP,61.856583317536284,R1,R111,1.0,success,7.24806547164917
VND,61.856583317536284,R1,R111,1,success,6.9537084102630615
ILS,62.43691829841907,R1,R111,1.0,success,1.8392572402954102
GRASP,65.12301683739044,R1,R112,1.0,success,4.752352952957153
VND,65.12301683739044,R1,R112,1,success,6.907682180404663
ILS,68.28515696998095,R1,R112,1.0,success,2.0104782581329346
