Family,Instance,Vertices,Edges,BKS,GAA_Fitness,Gap%,Status,Iterations,Time_s
CUL,flat1000_50_0,1000,245000,50,0.9000,82.00,under_bks,50,0.000666
CUL,flat1000_60_0,1000,245830,60,0.9000,81.67,under_bks,50,0.000429
CUL,flat1000_76_0,1000,246708,76,0.9000,80.26,under_bks,50,0.000505
CUL,flat300_20_0,300,21375,20,0.9000,85.00,under_bks,50,0.000350
CUL,flat300_26_0,300,21633,26,0.9000,80.77,under_bks,50,0.000195
CUL,flat300_28_0,300,21695,28,0.9000,82.14,under_bks,50,0.000225
DSJ,DSJC1000.1,1000,99258,0,0.9000,0.00,open_problem,50,0.000754
DSJ,DSJC1000.5,1000,499652,0,0.9000,0.00,open_problem,50,0.000725
DSJ,DSJC1000.9,1000,898898,0,0.9000,0.00,open_problem,50,0.000474
DSJ,DSJC125.1,125,1472,0,0.9000,0.00,open_problem,50,0.000242
DSJ,DSJC125.5,125,7782,0,0.9000,0.00,open_problem,50,0.000391
DSJ,DSJC125.9,125,13922,0,0.9000,0.00,open_problem,50,0.000199
DSJ,DSJC250.1,250,6436,0,0.9000,0.00,open_problem,50,0.000238
DSJ,DSJC250.5,250,31336,0,0.9000,0.00,open_problem,50,0.000199
DSJ,DSJC250.9,250,55794,0,0.9000,0.00,open_problem,50,0.000207
DSJ,DSJC500.1,500,24916,0,0.9000,0.00,open_problem,50,0.000510
DSJ,DSJC500.5,500,125248,0,0.9000,0.00,open_problem,50,0.000315
DSJ,DSJC500.9,500,224874,0,0.9000,0.00,open_problem,50,0.000813
DSJ,DSJR500.1,500,7110,0,0.9000,0.00,open_problem,50,0.000395
DSJ,DSJR500.1c,500,242550,0,0.9000,0.00,open_problem,50,0.000321
DSJ,DSJR500.5,500,117724,0,0.9000,0.00,open_problem,50,0.000200
